,Unnamed: 0,sentence,label
0,85,The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .,neutral
1,1855,"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative
2,2631,"As a domestic business , Best-In is already close to Finnish dog owners .",positive
3,3994,"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank .",neutral
4,3409,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral
5,783,The optimization of the steel components heating process will reduce the energy consumption .,positive
6,188,The annual value of the contracts is estimated at USD 2mn over the next three years .,neutral
7,2455,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",positive
8,2995,Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,neutral
9,2557,In Sweden the agreement covers data communication services as well .,neutral
10,1190,`` We are selling an information systems development business to the Finns .,neutral
11,1764,"As a result of the negotiations , the amount of employment contracts to be terminated is 13 .",negative
12,831,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive
13,1206,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,positive
14,395,UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .,neutral
15,4026,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",positive
16,3621,"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",neutral
17,2299,The adjustment measures will be carried out in phases to secure the delivery capability .,neutral
18,2185,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .,positive
19,4268,The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive
20,3384,Financial terms were not disclosed .,neutral
21,3950,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive
22,3231,Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral
23,2669,The issuer is solely responsible for the content of this announcement .,neutral
24,2491,The deal also includes a ten-year maintenance agreement .,neutral
25,1509,"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",neutral
26,1644,"Operating loss totalled EUR 0.3 mn , down from a profit of EUR 5.1 mn in the first half of 2009 .",negative
27,7,"Tikkurila has an interesting growth strategy , which we support .",neutral
28,3419,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative
29,1162,The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,neutral
30,2227,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",negative
31,4254,"industry in Asia +Ã³ Pakistan , Malaysia , Taiwan and Philippines Today , Global Research & Data Services is going to publish several market analyses about the cement markets in Asia .",neutral
