,Unnamed: 0,sentence,label
0,3489,"Compagnie de Financement Foncier - Is to issue a benchmark , 10 year covered deal in Euros .",neutral
1,2777,"Finnish property investment company Citycon will expand and refurbish +Ã kersberga shopping center in Stockholm , in Sweden .",neutral
2,3150,"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive
3,3627,"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",positive
4,2330,"The terms of the financing were approved by the Annual General Meeting of the Company held on June 30 , 2010 .",positive
5,1323,"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",positive
6,3688,"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",positive
7,2266,That would be an increase from estimated sales of 117 million last year .,positive
8,1146,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",positive
9,4032,"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .",neutral
10,952,One of Uponor 's promising future products is a hydronic cooling system .,positive
11,3916,"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",neutral
12,3712,"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .",neutral
13,3768,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive
14,4303,"Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham .",negative
15,4249,"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral
16,2184,"HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum .",neutral
17,804,Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,positive
18,3950,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive
19,1920,Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative
20,3672,"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",negative
21,3552,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative
22,2878,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative
23,3461,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,neutral
24,1194,We have made long-term investments in developing the system 's implementation model .,neutral
25,476,The order is a follow-on to an 11 mln euro ( $ 16.1 mln ) deal made in July 2007 .,neutral
26,2722,"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral
