,Unnamed: 0,sentence,label
0,397,It also recovers valuable raw material for Kemira 's water chemical production .,neutral
1,1497,"The company targets sales of Ls 27.1 mn ( Ls 23.498 mn ) and a profit of Ls 300,000 ( Ls 371,500 ) in 2007 .",neutral
2,3178,"The group also plans to launch the 270 room Atria Grand , Whitefield , a five star luxury hotel , in 2009 .",neutral
3,3268,The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .,positive
4,857,"When this investment is in place , Atria plans to expand into the Moscow market .",neutral
5,2333,"The dollar fell , though , against the pound and the yen .",negative
6,490,"Under the deal , Know IT will pay SEK90m ( USD12 .8 m-EUR8 .6 m ) in cash and stock .",neutral
7,3215,"The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources .",neutral
8,2037,"By the end of 2006 , the number of joint branch offices will total 170 .",neutral
9,3541,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",neutral
10,910,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive
11,350,"Via the move , the company aims annual savings of some EUR3m , the main part of which are expected to be realized this year .",positive
12,541,"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",positive
13,1745,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .,neutral
14,2518,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral
15,569,Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,negative
16,4283,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",negative
