,Unnamed: 0,sentence,label
0,783,The optimization of the steel components heating process will reduce the energy consumption .,positive
1,2280,The arrangements do not apply to the group 's units outside Finland .,neutral
2,970,"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 .",neutral
3,1614,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral
4,3423,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive
5,1890,"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",neutral
6,708,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive
7,73,"Operating profit decreased to nearly EUR 1.7 mn , however .",negative
8,477,"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral
9,1618,The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 .,neutral
10,3872,Scanfil issued a profit warning on 10 April 2006 .,negative
11,288,"Products include Consumer Electronics devices such as mobile phones and their accessories , set-top boxes , flat panel TVs as well as System Solutions products such as infrastructure systems , modules and other industrial segment products .",neutral
12,4127,The solvency capital ratio of both companies was 2.7 times the solvency limit .,neutral
13,1152,"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen .",positive
14,2274,"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative
15,4180,The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral
16,3206,"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",neutral
17,1026,The company 's advantage in pricing can be seen in the significantly lower prices offered by the new unmanned stations .,positive
18,161,"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral
19,3819,No financial details were available .,neutral
20,3043,"As the largest elevator market in the world , Chinese output of elevators continued to rise to 262,000 units in 2009 , up about 5 % yr-on-yr .",positive
21,2939,"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",neutral
22,199,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",neutral
23,2638,The impact of Cableway to Teleste 's net sales in 2009 is estimated to be EUR 4 million .,neutral
24,3823,"The company operates worldwide and employs in total approximately 47,000 persons .",neutral
25,1259,"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive
26,3540,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .,neutral
27,1215,"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",neutral
28,4335,"Most of the raw materials come from Europe and the US and are paid in euros or US dollars , while sales take place in rubles .",neutral
29,856,"The subscriptions increase Cargotec 's share capital by EUR 27,060 .",positive
30,3987,Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral
31,329,Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,neutral
32,1522,"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",positive
33,4347,"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",positive
