,sentence,label
0,The optimization of the steel components heating process will reduce the energy consumption .,positive
1,The simplifying of the steel semiconductors heating process will reduce the energy consumption.,positive
2,The optimization of the steel boilers heating process will push the energy consumption.,positive
3,The develops of the steel components *crude process will reduce the energy consumption.,positive
4,The organizational of the steel components heating skill will reduce the energy consumption.,positive
5,The optimization of the ore-carrying cylinder heating process will reduce the energy consumption.,positive
6,The optimization of the steelmakers components heating process will reduce the oil consumption.,positive
7,The optimization of the steel components heating process will reduce the coal prices.,positive
8,The scale-up of the steel components “palm process will reduce the energy consumption.,positive
9,The arrangements do not apply to the group 's units outside Finland .,neutral
10,The arrangements do not violate to the associations ' s units outside Finland.,neutral
11,The relationships do not apply to the grouping ' s units outside Finland.,neutral
12,The transactions do not apply to the group ' s powerplants outside Finland.,neutral
13,The independently do not apply to the group ' s units english-speaking Finland.,neutral
14,The arrangements do not qualify to the group ' s units relocating Finland.,neutral
15,The arrangements do not apply to the group ' s substations cater Finland.,neutral
16,The structure do not apply to the cargill ' s units outside Finland.,neutral
17,The activities do not apply to the group ' s products outside Finland.,neutral
18,"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 .",neutral
19,"In addition, YIT has rely EPI Russia the right to expand the logistics center by about 750, 000 inflows.",neutral
20,"In addition, YIT has reserved EPI Russia the important to expand the logistics center by about 240, 000 co-product.",neutral
21,"In addition, YIT has prohibited EPI Russia the right to expand the smart-grid center by about 100, 160.80 m2.",neutral
22,"In addition, YIT has invoked EPI Russia the right to expand the agricultural center by about 100, 116.40 m2.",neutral
23,"In addition, YIT has reserved EPI Russia the right to expand the gypsum center by about 100, 119.23 mangers.",neutral
24,"In moreover, YIT has reserved EPI Russia the right to expand the downstream center by about 100, 1183 m2.",neutral
25,"In addition, YIT has confer EPI Russia the right to grown the outsourcing center by about 100, 000 m2.",neutral
26,"In addition, YIT has designated EPI Russia the ok to expand the logistics center by about 145, 000 m2.",neutral
27,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral
28,"ALEXANDRIA, Va. , Oct. 15 - - Aaron Moss of Hampshire, Great Britain, has oil-importing an elegance configuration for a dram, the U. S. Patent & Trademark Office announced.",neutral
29,"ALEXANDRIA, Va. , Oct. 40 - - Aaron Moss of Hampshire, Great Britain, has developed an voluptuous design for a smartphones., the U. S. Patent & Trademark Office cleared.",neutral
30,"ALEXANDRIA, Va. , Oct. 1 - - Aaron Moss of Hampshire, Great Britain, has developed an ornamental configuration for a electronics, the U. S. Patent & Trademark Office signed.",neutral
31,"ALEXANDRIA, Va. , Oct. 8.3 - - Aaron Moss of Hampshire, Great Britain, has developed an incense ornamental for a handsets, the U. S. Patent & Trademark Office announced.",neutral
32,"ALEXANDRIA, Va. , Oct. 15 - - Aaron Moss of Hampshire, Great Britain, has fast-growth an elegance design for a consoles, the U. S. Patent & Trademark Office concludes.",neutral
33,"ALEXANDRIA, Va. , Oct. 13 - - Aaron Moss of Hampshire, Great Britain, has developed an offbeat intricate for a handset, the U. S. Patent & Trademark Office reiterated.",neutral
34,"ALEXANDRIA, Va. , Oct. 23 - - Aaron Moss of Hampshire, Great Britain, has developed an garish synthesize for a handset, the U. S. Patent & Trademark Office terminated.",neutral
35,"ALEXANDRIA, Va. , Oct. 15 - - Aaron Moss of Hampshire, Great Britain, has developed an honeycomb functional for a handset., the U. S. Patent & Trademark Office embarking.",neutral
36,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive
37,Finnish cosmopolitan materials pollution- Amer Sports Oyj (HEL: AMEAS) say today that its net loss narrowed to EUR 16. 9 million (USD 22. 3 m) in the second quarter of 2010 from EUR 23. 2 million in the corresponding period a year earlier.,positive
38,Finnish soccer equipment maker Amer Sports Oyj (HEL: AMEAS) confirmed today that its net loss narrowed to EUR 16. 9 million (USD 22. 3 m) in the second-run quarter of 2010 from EUR 23. 2 million-dirham in the corresponding period a year earlier.,positive
39,Finnish sports equipment maker Amer Sports Oyj (HEL: AMEAS) said july that its net loss narrowed to EUR 16. 9 million (USD 12. 6 m) in the second quarter of 2010 from EUR 23. 2 million in the corresponding period a year fourth-straight.,positive
40,Finnish sports equipment maker Amer Sports Oyj (HEL: AMEAS) said today that its net loss narrowed to EUR 16. 16.5 million (USD 22. 4.2 m) in the second quarter of 2010 from EUR 23. 2 million in the year-over-year period a year seventh-straight.,positive
41,Finnish teams’ equipment maker Amer Sports Oyj (HEL: AMEAS) said today that its net profit” narrowed to EUR 16. 9 million (USD 22. 3 m) in the second quarter of 2010 from EUR 23. 2 million in the corresponding period’s a year “2010.,positive
42,Finnish exposition inverters carmaker Amer Sports Oyj (HEL: AMEAS) said today that its net loss narrowed to EUR 16. 9 million (USD 22. 3 m) in the second quarter of 23 from EUR 23. 2 million in the corresponding period a year earlier.,positive
43,Finnish sports equipment pollution- Amer Sports Oyj (HEL: AMEAS) said today that its net loss narrowed to EUR 16. 39 percent (USD 22. 3 m) in the second quarter of 2010 from EUR 23. 2 million in the corresponding tally a year earlier.,positive
44,Finnish sports equipment maker Amer Sports Oyj (HEL: AMEAS) said today that its basketball-related profits smallest to EUR 60. 9 million (USD 22. 3 m) in the second quarter of 2010 from EUR 23. 2 million in the corresponding period a year earlier.,positive
45,"The operations to be sold include manufacturing units in Finland , France , Poland and Turkey , as well as sales units in Germany and Lithuania .",neutral
46,"The exercises to be sold include manufacturing units in Finland, France, Poland and Turkey, as well as analysts’ firms in Germany and Lithuania.",neutral
47,"The operation to be sold augmented manufacturing units in Finland, France, Poland and Turkey, as well as sevenfold units in Germany and Lithuania.",neutral
48,"The capacities to be sold include hiring units in Finland, France, Poland and Turkey, as well as retailers units in Germany and Lithuania.",neutral
49,"The unit’s to be sold include manufacturing units in Finland, France, Poland and Turkey, as regardless as 7.7 units in Germany and Lithuania.",neutral
50,"The operations to be sold involving high-tech units in Finland, France, Poland and Turkey, as well as per-store units in Germany and Lithuania.",neutral
51,"The operations to be auctioned include manufacturing stake in Finland, France, Poland and Turkey, as well as additions units in Germany and Lithuania.",neutral
52,"The operating to be sold include manufacturing units in Finland, France, Poland and Turkey, as well as values affiliates in Germany and Lithuania.",neutral
53,"The capabilities to be sold include productivity units in Finland, France, Poland and Turkey, as especially as sales units in Germany and Lithuania.",neutral
54,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive
