,Unnamed: 0,sentence,label
0,3937,"`` We have become convinced that we can do that very quickly , '' he told Finnish business reporters .",neutral
1,2178,"Lule+Ã municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",positive
2,3978,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,neutral
3,1612,The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive
4,3099,The total capacity of the factory will be approximately 100 engines a year .,neutral
5,2980,Glaston also has efficiency measures in all other units .,neutral
6,650,17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative
7,2842,We are now taking Marimekko there on a distinctly more significant scale .,neutral
8,708,"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive
9,481,"In the autumn , it plans to expand service to St. Petersburg and Moscow and launch service to Yekaterinburg , Russia , flying there three times a week .",positive
10,281,The Estonian parliament was set to vote on amendments to the excise duty law on Wednesday that would add 0.42 kroons to the price of a liter of diesel and 0.45 kroons to the price of a liter of gasoline from the start of 2010 .,neutral
11,2261,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,negative
12,1315,"Incap Contract Manufacturing will carry out the manufacturing for these agreements at its factory in Tumkur , near Bangalore .",neutral
13,3830,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive
14,3357,"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",neutral
15,605,Return on equity stood at 18.3 % compared to 15.4 % in the third quarter of 2005 .,positive
16,1658,The executive group will participate in the adjustments with a fixed-term 5 % salary cut .,positive
17,3385,"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",neutral
18,1955,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",neutral
19,2169,The company closed last year with a turnover of about four million euros .,neutral
20,3152,"There have been 15 initial public offerings announced in Sweden this year , compared with two during the same period a year earlier , Bloomberg data shows .",neutral
21,701,Productional situation has now improved .,positive
22,1001,Componenta 's objective with this agreement is to increase business on its existing production lines .,positive
23,597,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,negative
24,526,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive
25,3461,The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,neutral
26,988,Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,positive
27,4028,Investments are not disclosed .,neutral
28,3421,"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",neutral
29,4225,"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe .",neutral
30,108,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .",positive
31,3903,You are warmly welcome !,neutral
32,655,"According to Heikkil+Ã± , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .",neutral
33,59,The goal is significant expansion in Finland and in the northern Baltic region .,neutral
34,1111,"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .",neutral
35,296,"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",neutral
36,620,Symphony Services provides development services for Aldata GOLD .,neutral
37,1076,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",positive
38,475,The objective of the planned measures is to achieve significant savings in the next few years .,positive
39,710,"Koduextra is operating a retail chain of 11 stores , controlled by Finnish Non-Food Center KY , Rukax OY , and Scan-Tukka OY .",neutral
40,2007,"OUTOTEC OYJ PRESS RELEASE , FEBRUARY 19 , 2008 AT 11.00 AM Outotec has won two large minerals processing technology orders from Mirabela Mineracao do Brasil Ltda , Brazil and from Cumerio Med JSCo , Bulgaria .",positive
41,4009,"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists .",neutral
42,1057,"The order includes a new Crecent former , headbox , and reel .",neutral
43,1492,HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .,positive
44,3305,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",negative
45,1985,Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral
46,2195,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral
47,1939,Demand was brisk as expected and order levels have remained high .,positive
48,2095,Teleste expects to start the deliveries at the end of 2009 .,neutral
49,231,The ECB can mainly target inflation .,neutral
50,3341,"The sale will be finalized in September or October , the company said .",neutral
51,4103,Lemmink+Ã±inen started the manufacture of roofing felt in 1920 and the production of asphalt in the 1930s .,neutral
52,2680,The chain is to unite 45-50 centres by the end of 2008 .,neutral
53,1435,"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",neutral
54,3207,"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive
55,390,"Therefore , Phase III of the research will not be conducted by Abbott .",neutral
56,2119,Fortum is now considering taking part in nuclear energy projects outside of Finland .,neutral
57,2262,"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",negative
58,1746,"It is necessary to strengthen the company 's operations , however .",neutral
59,1930,"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",neutral
60,4323,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,positive
61,622,"The deal covers Stockmann Auto Oy Ab 's sales and after-sales services concerning Volkswagen and Audi in Helsinki , Espoo and Vantaa .",neutral
62,1148,"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral
63,2013,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,positive
64,2348,Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .,neutral
65,1285,"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive
66,471,"Tekla will organize an information meeting for analysts and media at WTC Helsinki Marski meeting room , Aleksanterinkatu 17 , the same day at 12:30 - 1:30 p.m. Light lunch will be served .",neutral
67,816,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive
68,2388,"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral
69,1694,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral
70,3300,The recent troubles simply make NETeller cheaper .,negative
71,4216,CF2 Pty Ltd became a substantial holder in Renison Consolidated Mines NL on January 25 with 150 million shares ( 7.9 pc ) .,neutral
72,2022,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral
73,4163,Almost the entire office building will be occupied by Metso .,neutral
74,4134,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral
75,3731,"Since the registration of the shares subscribed in a directed share issue , the new number of Panostaja shares and voting rights is 41,733,110 .",neutral
