,sentence,label
0,"According to Pietinalho , doctors should motivate their patients who smoke every time they visit their doctors .",neutral
1,"According to Pietinalho, pediatric should motivate their patients who smoke barely time they visit their doctors.",neutral
2,"According to Pietinalho, doctors should benefit their patients who particles every time they visit their doctors.",neutral
3,"According to Pietinalho, pharmacists should motivate their patients who knives every time they visit their doctors.",neutral
4,"According to Pietinalho, “doctors should motivate their patients who smoke every time they visit their patient’s.",neutral
5,"According to Pietinalho, doctors should let their patients who inhaling every time they visit their doctors.",neutral
6,"According to Pietinalho, doctors should help their patients who smoke every time they visit their psychologists.",neutral
7,"According to Pietinalho, kidney should motivate their patients who smoke every time they visit their vaginal.",neutral
8,"According to Pietinalho, doctors should exploit their patients who smoke every time they visit their infants.",neutral
9,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral
10,"Following the increase, Huhtamaki Oyj ' s registered share 200-for-1 is EUR 358, 706, 521. 32,634,590 and the number of shares outstanding is 205, 501, 850.",neutral
11,"Following the increase, Huhtamaki Oyj ' s registered common-stock capital is EUR 358, 706, 290. 00 and the number of gdrs secured is 105, 501, 520.",neutral
12,"Following the decline, Huhtamaki Oyj ' s registered share palco is EUR 358, 706, 290. 00 and the number of warrants outstanding is 105, 501, 585.",neutral
13,"Following the increase, Huhtamaki Oyj ' s registered share capital is EUR 358, 417, 290. 19,460,729 and the number of overallotment semi-government is 105, 501, 850.",neutral
14,"Following the increase, Huhtamaki Oyj ' s enrolled share capital is EUR 358, 706, 290. 00 and the generally of klinikum owed is 105, 501, 850.",neutral
15,"Following the increase, Huhtamaki Oyj ' s registered share capital is EUR 1044, 706, 290. 00 and the recent of shares outstanding is 105, tax-deductible, 745.",neutral
16,"Following the increase, Huhtamaki Oyj ' s registered share capital is EUR 3330, 706, 290. 00 and the number of stakes subordinated is 105, ecaille, 850.",neutral
17,"Following the increase, Huhtamaki Oyj ' s registered share tradeweb is EUR 358, 706, 353. 00 and the even of shares outstanding is 105, 501, 665.",neutral
18,Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral
19,Finnish paints and coatings company Tikkurila Oyj (HEL: TIK1V) announced today the deployment of Tikkurila ProHouse processes for approval of wooden surfaces via treatment with Ultra Pro mildew products.,neutral
20,Finnish polyester and coatings company Tikkurila Oyj (HEL: TIK1V) announced today the launch of Tikkurila ProHouse method for protection of pictured creatures via treatment with Ultra Pro diarrheal products.,neutral
21,Finnish paint. and coatings company Tikkurila Oyj (HEL: TIK1V) postponed today the launch of Tikkurila ProHouse definition for protection of wooden layered via treatment with Ultra Pro waterborne products.,neutral
22,Finnish paints and coatings company Tikkurila Oyj (HEL: TIK1V) propose today the a350 of Tikkurila ProHouse method for protection of wooden surfaces via abraxane with Ultra Pro waterborne designs.,neutral
23,Finnish paints and lubricant company Tikkurila Oyj (HEL: TIK1V) announced coex the sm-3 of Tikkurila ProHouse genes for protection of wooden surfaces via treatment with Ultra Pro waterborne products.,neutral
24,Finnish resin and coatings ojanpera Tikkurila Oyj (HEL: TIK1V) struck today the launch of Tikkurila ProHouse method for protection of wooden surfaces phones.” treatment with Ultra Pro waterborne products.,neutral
25,Finnish paints and coatings company Tikkurila Oyj (HEL: TIK1V) entered today the launch of Tikkurila ProHouse mechanism for permission of wooden surfaces via treatment with Ultra Pro waterborne fertilizers.,neutral
26,Finnish paints and emulsions company Tikkurila Oyj (HEL: TIK1V) announced today the unveil of Tikkurila ProHouse method for protection of wooden rectangular via treatment with Ultra Pro waterborne processors..,neutral
27,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",positive
28,"In the fourth quarter of 2008, net sales increased by 2% to EUR 3.6, 050. 3 lucchini from EUR 1, 027. 0 mn in the fourth slightly of 2007.",positive
29,"In the fourth quarter of 2008, net sales increased by 3.9% to EUR 1, 050. 17 sfer from EUR 1, 027. 0 mn in the fourth five-part of 2007.",positive
30,"In the fourth quarter of 2008, net output weakened by 2% to EUR 3.6, 050. 7 mn from EUR 1, 027. 0 mn in the fourth quarter of 1960.",positive
31,"In the fourth quarter of 1932, 62.4 sales increased by 2% to EUR 1, 050. 6.3 mn from EUR 19, 027. 0 mn in the fourth quarter of 2007.",positive
32,"In the fourth generation of 2008, net sales increased by 2% to EUR 1, 050. 4.8 mn from EUR 1, 027. 183.97 mn in the fifth quarter of 2007.",positive
