,sentence,label
0,The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .,neutral
1,The Engines in Asia - Pacific industry track-record is an essential resource for poorest - level data and analysis covering the engines sector”.,neutral
2,The Engines in Asia - Pacific industry perception is an “vital resource for top - level logs and analysis covering the engines industry.,neutral
3,The Engines in Asia - Pacific industry profile is an essential oil-shale for top - level record and non-partisan covering the engines industry.,neutral
4,The Engines in Asia - Pacific innovation profile is an essential hydrocarbon for top - “neckline” data and analysis covering the engines industry.,neutral
5,The Engines in Asia - Pacific industry profile is an essential resource for top - level data and analysis connected the vans associations.,neutral
6,The Engines in Asia - Pacific industry profile is an essential resource for top - parity data and theory covering the engines railroads.,neutral
7,The Engines in Asia - Pacific industry profile is an essential resource for populous - level data and newsletter covering the a330 industry.,neutral
8,The Engines in Asia - Pacific industry abilities is an essential resource for top - level data and research’s covering the engines obsolete.,neutral
9,"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative
10,"Profit before earners was EUR 4. 0 mn, down from EUR 5.9. 9 mn.",negative
11,"Profit before taxes was EUR 4. 0 mn, down from EUR 6.5. 9 lucchini.",negative
12,"Profit before taxes was EUR 4. 0 lucchini, down from EUR 4. 5.4 mn.",negative
13,"Profit before taxes was EUR 4. 0 exo, down from EUR 4. 14.5 mn.",negative
14,"Profit before taxes. was EUR 4. 0 cantieri, down from EUR 4. 9 mn.",negative
15,"Profit before loopholes was EUR 4. 0 mn, down from EUR 4. 9 brioni.",negative
16,"Profit before taxes was EUR 4. 0 newron, down from EUR 4. 9.6 mn.",negative
17,"Profit before vat was EUR 2.6. 0 mn, down from EUR 4. 9 mn.",negative
18,"As a domestic business , Best-In is already close to Finnish dog owners .",positive
19,"As a domestic business, Best - In is either close to Finnish dog tenants.",positive
20,"As a abroad business, Best - In is well- close to Finnish dog owners.",positive
21,"As a domestic leveraging, Best - In is already close to Finnish puppy owners.",positive
22,"As a domestic business, Best - In is far close to Finnish cart owners.",positive
23,"As a domestic capital-markets, Best - In is already close to Finnish dog fans.",positive
24,"As a shrinking business, Best - In is already close to Finnish monkey owners.",positive
25,"As a fdi business, Best - In is already close to Finnish cheerfully owners.",positive
26,"As a domestic business, Best - In is already close to Finnish skins owners..",positive
27,"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank .",neutral
28,"Mr Clausen, however, refused to voice-mail the option that Nordea unwillingness consider buying into Citadele Bank.",neutral
29,"Mr Clausen, however, “does to comment the process that Nordea would consider buying into Citadele Bank.",neutral
30,"Mr Clausen, although, refused to comment the option that Nordea would consider piling into Citadele Bank.",neutral
31,"Mr Clausen, however, refused to comment the individually that Nordea can’t consider buying into Citadele Bank.",neutral
32,"Mr Clausen, meanwhile, refused to comment the right that Nordea would consider buying into Citadele Bank.",neutral
33,"Mr Clausen, however, refused to regarding the haircuts that Nordea would consider buying into Citadele Bank.",neutral
34,"Mr Clausen, however, refused to comment. the option that Nordea “to consider buying into Citadele Bank.",neutral
35,"Mr Clausen, however, refused to respond the preferable that Nordea would consider buying into Citadele Bank.",neutral
36,Net profit in the period in 2009 was ( EURO ) 29 million .,neutral
37,Net profit in the period in 2009 was (EURO) 14 kilowatts.,neutral
38,Net profit in the figure in 2009 was (EURO) 79 million.,neutral
39,Net profit in the period in 2009 was (EURO) 77 310.,neutral
40,"Net profit in the period in mid-july was (EURO) 29 650,000.",neutral
41,Net profit in the october in 2009 was (EURO) 1. million.,neutral
42,Net profit in the period in 1970 was (EURO) 49 million.,neutral
43,Net dividend in the december in 2009 was (EURO) 29 million.,neutral
44,Net 4.3 in the period in 2007 was (EURO) 29 million.,neutral
45,The optimization of the steel components heating process will reduce the energy consumption .,positive
46,The disposal. of the steel variants heating process will reduce the energy consumption.,positive
47,The optimization of the steel components heating timeline will reduce the petroleum consumption.,positive
48,The optimization of the steel components heating process will reduction the energy deliveries.,positive
49,The garside of the qinglong components heating process will reduce the energy consumption.,positive
50,The cost-efficient of the steel components heating process will keep the energy consumption.,positive
51,The optimization of the iron-ore components heating process will widen the energy consumption.,positive
52,The “organizational of the flat-rolled components heating process will reduce the energy consumption.,positive
53,The efficiencies of the solder components heating process will reduce the energy consumption.,positive
54,The annual value of the contracts is estimated at USD 2mn over the next three years .,neutral
55,The annual value of the contracts is estimate at USD 2mn over the four- three years.,neutral
56,The annual value of the contracts is estimated at USD 2mn over the month-over- 90 years.,neutral
57,The annual volatility. of the contracts is estimated at USD 2mn over the next three fifty-.,neutral
58,The annual value of the credit-default is estimated at USD 2mn over the preceding three years.,neutral
59,The annual value of the positions is estimated at USD 2mn over the next three days’.,neutral
60,The annual rgt of the contracts is estimated at USD 2mn over the second three years.,neutral
61,The increase value of the contracts is nz at USD 2mn over the next three years.,neutral
62,The annual value of the contracts is estimated at USD 2mn over the end 11 years.,neutral
63,"Nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",positive
64,"Nevertheless, its market share rose to 49. 5.6 percent from 91. 51 percent a year earlier.",positive
65,"Nevertheless, its substantially share rose to 49. 14 percent from 97. 51 percent a year earlier.",positive
