,sentence,label
0,Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral
1,Vaisala ' s board of stockholders will propose a dividend of 0. 85 ecb’s $ 1. 24 per share at the company ' s athletic-department general meeting.,neutral
2,Vaisala ' s board of directors will propose a dividend of 175.54. 70 euro $ 1. 24 per share at the company ' s annual general debate.,neutral
3,Vaisala ' s commission of directors will tax-raising a dividend of 0. 85 euro $ 1. 24 per share at the company ' s annual gerber meeting.,neutral
4,Vaisala ' s board of directors will propose a dividend of 0. 85 euro $ 1. 24 per dividends at the company ' s 2015 general presentations.,neutral
5,Vaisala ' s board of directors will propose a eps of 0. 85 euro $ 5.3. 24 per 485 at the company ' s annual general meeting.,neutral
6,Vaisala ' s board of directors will propose a bonuses. of 0. 85 euro $ 8.3. 25 per share at the company ' s annual general meeting.,neutral
7,Vaisala ' s board of directors will propose a dividend of 0. 92 euro $ 1. 24 per share at the suzlon ' s annual general convene.,neutral
8,Vaisala ' s board of directors will propose a dividend of editor’s. 85 euro $ 1. 24 3.30 255 at the company ' s annual general meeting.,neutral
9,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral
10,"The company serves customers in various non-energy, including process and resources, industrial machinery, sculptural, building, single-family, electrical, transportation, electronics, chemical, petrochemical, energy, and information technology, as well as branching and households.",neutral
11,"The vivendi serves customers in various industries, including process and resources, finished-goods machinery, architecture, building, construction, electrical, transportation, electronics, aluminum-, petrochemical, energy, and fbi technology, as well as catering and households.",neutral
12,"The airline serves users in various industries, including process and resources, industrial machinery, incubator, building, construction, electrical, transportation, electronics, chemical, petrochemical, energy, and information technology, as critical as catering and households.",neutral
13,"The company serves promotions in various industries, including process and egu, industrial machinery, architecture, building, builders, washer, transportation, electronics, chemical, petrochemical, energy, and information technology, as well as catering and households.",neutral
14,"The company serves customers in various industries, including process and gas, industrial machinery, architecture, building, construction, electrical, automobiles, electronics, chemical, petrochemical, energy-related, and information technology, as well as yachts and households.",neutral
15,"The company serves customers in various industries, including formal and resources, industrial machinery, architecture, building, construction, electrical, transportation, electronics, chemical, gas-to-, energy, and correspondence technology, as well as catering and people.",neutral
16,"The company serves operators in various industries, including process and resources, export-oriented machinery, culinary, building, construction, electrical, transportation, electronics, mon, petrochemical, energy, and information technology, as well as catering and households.",neutral
17,"The provider composed customers in various industries, grouped process and resources, industrial machinery, architecture, building, construction, electrical, transportation, electronics, chemical, petrochemical, energy, and information consumer-oriented, as well as catering and households.",neutral
18,Total value of the contract is about EUR 10mn .,neutral
19,Total 418 of the contract is about EUR 10mn.,neutral
20,Total “value of the contract is about EUR 10mn.,neutral
