,Unnamed: 0,sentence,label
0,4339,"Operating profit for the 12-month period decreased from EUR5 .4 m while net sales increased from EUR62 .0 m , as compared to the financial year 2004 .",negative
1,3686,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral
2,3358,Yvonne Jones is owner of Chameleon Interiors .,neutral
3,187,"Of this , EUR 38.8 mn was net interest income .",neutral
4,3233,The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative
5,3271,Net sales are expected to remain on the same level as in 2007 .,neutral
6,1152,"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen .",positive
7,1622,"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",neutral
8,4104,"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 .",neutral
9,2768,"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",neutral
10,2973,The Board of Directors was authorized to decide on other terms of the share issue .,neutral
11,2926,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral
12,2609,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative
13,3346,The EUR17m contract includes both design and construction works .,neutral
14,4271,"The transaction , which includes US$ 1.5 billion euro1 billion in cash , vendor notes and share purchases , is expected to be completed in the first quarter of 2008 , the Finnish-Swedish paper maker said .",neutral
15,4083,"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",negative
16,70,He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,positive
17,1772,"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative
