,Unnamed: 0,sentence,label
0,1529,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative
1,347,The companies expect the first orders already in 2011 .,positive
2,2150,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now extend these services to its customers .",positive
3,937,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral
4,900,`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,neutral
5,908,"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",positive
6,2024,Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative
7,2687,"The devices would be launched in the Chinese market in late 2006 , the company said .",neutral
8,359,"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral
9,2714,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",positive
10,224,Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,positive
11,379,Marathon estimates the value of its remaining stake in Protalix at $ 27 million .,neutral
12,1938,"Operating profit for the 12-month period decreased from EUR28 .2 m while net turnover increased from EUR313 .42 m , as compared to the financial year 2004 .",negative
13,168,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative
14,1538,"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",neutral
15,2536,"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",neutral
16,979,At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral
17,370,The CVs of the proposed members are available for viewing from 12 March 2008 onwards on the Internet at www.sampo.com/ir .,neutral
18,493,"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral
19,3945,"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",negative
20,4077,Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,positive
21,3325,"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",neutral
22,2827,Customers in a wide range of industries use our stainless steel and services worldwide .,neutral
23,2899,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",neutral
24,1567,"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",neutral
25,946,"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will transfer to Nastola , southern Finland , the production of its Jyvaskyla plant , which will affect 14 people .",neutral
26,4109,"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",neutral
27,2715,"( ADPnews ) - Nov 9 , 2009 - Four companies have agreed to buy for a combined SEK 5.9 billion ( USD 854m-EUR 571.8 m ) all drug stores offered for sale as part of the restructuring of Swedish stated-owned pharmacy monopoly Apoteket AB , t",positive
28,2141,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive
29,3444,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive
30,2110,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",positive
31,1737,`` The CHF is a great product .,positive
32,1580,"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years .",positive
33,4028,Investments are not disclosed .,neutral
34,844,The studies are expected to start in 2008 .,neutral
35,2569,"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",neutral
36,1134,EPS dropped to EUR0 .2 from EUR0 .3 .,negative
37,4316,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral
38,2416,"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",neutral
39,4230,Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs .,neutral
40,2000,"Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler .",neutral
41,1528,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",neutral
42,2650,"Panostaja treats its negotiating partners , such as entrepreneurs selling their life s work and newcomer entrepreneurs seeking a career , fairly , justly and according to the law .",neutral
43,2320,They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs .,negative
44,3026,"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",positive
45,3280,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral
46,217,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative
47,814,Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral
48,2417,There are no substitutes to AC drives .,neutral
49,3675,In addition the production personnel of the Sport Division have been given a temporary lay-off warning .,negative
50,2566,"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France .",neutral
51,2669,The issuer is solely responsible for the content of this announcement .,neutral
52,3277,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ãrbindelsen bridge in Gothenburg in Sweden .,positive
53,4234,"To achieve synergy targets related to the acquisition , Vaisala is consolidating its manufacturing , depot and data services , and finance activities currently located in Uniontown , Pennsylvania , St. Louis , Missouri and Durham , North Carolina .",neutral
54,2665,Tikkurila acquired a majority stake in Kolorit Paints in the autumn of 2004 .,neutral
